driver_id,month,total_miles,total_hours,total_fuel,avg_mpg,idle_time,trip_count,idle_ratio,productivity,fuel_efficiency,home_terminal,cdl_class,employment_status,years_experience,date_of_birth,hire_date,driver_age,driver_tenure
DRV00001,2024-01-01,36993,659.2,5830.0,6.362272727272727,148.0,22,0.2245145631067961,56.11802184466019,6.345283018867924,Denver,A,Active,3,1973-11-07,2014-10-31,52.12876712328767,11.12054794520548
DRV00001,2024-02-01,25006,437.7,3922.4,6.506666666666666,101.5,15,0.23189399131825453,57.130454649303175,6.375178462166021,Denver,A,Active,3,1973-11-07,2014-10-31,52.12876712328767,11.12054794520548
DRV00001,2024-03-01,36821,621.4,5817.9,6.404444444444445,187.6,27,0.30189893788220146,59.25490827164467,6.32891593186545,Denver,A,Active,3,1973-11-07,2014-10-31,52.12876712328767,11.12054794520548
DRV00001,2024-04-01,25192,432.5,3967.3,6.3223529411764705,119.3,17,0.2758381502890173,58.24739884393063,6.349910518488644,Denver,A,Active,3,1973-11-07,2014-10-31,52.12876712328767,11.12054794520548
DRV00001,2024-05-01,36131,630.5,5454.6,6.612608695652174,147.3,23,0.233624107850912,57.305313243457576,6.623950427162395,Denver,A,Active,3,1973-11-07,2014-10-31,52.12876712328767,11.12054794520548
DRV00001,2024-06-01,29615,508.0,4296.5,6.856315789473685,136.8,19,0.2692913385826772,58.29724409448819,6.892819736995229,Denver,A,Active,3,1973-11-07,2014-10-31,52.12876712328767,11.12054794520548
DRV00001,2024-07-01,34260,587.6,5192.0,6.750909090909091,139.2,22,0.2368958475153165,58.30496936691627,6.598613251155624,Denver,A,Active,3,1973-11-07,2014-10-31,52.12876712328767,11.12054794520548
DRV00001,2024-08-01,16488,296.0,2618.2,6.385000000000001,97.8,12,0.3304054054054054,55.7027027027027,6.297456267664808,Denver,A,Active,3,1973-11-07,2014-10-31,52.12876712328767,11.12054794520548
DRV00001,2024-09-01,13838,242.9,2167.2999999999997,6.480714285714286,104.8,14,0.431453272951832,56.96994648003293,6.384902874544364,Denver,A,Active,3,1973-11-07,2014-10-31,52.12876712328767,11.12054794520548
DRV00001,2024-10-01,26301,451.5,3996.9,6.619473684210526,145.1,19,0.32137320044296785,58.25249169435216,6.580349771072581,Denver,A,Active,3,1973-11-07,2014-10-31,52.12876712328767,11.12054794520548
DRV00001,2024-11-01,22320,398.6,3563.1,6.351111111111111,131.2,18,0.32915203211239336,55.995985950827894,6.264208133367012,Denver,A,Active,3,1973-11-07,2014-10-31,52.12876712328767,11.12054794520548
DRV00001,2024-12-01,12031,223.5,1716.9,6.996,40.5,5,0.18120805369127516,53.82997762863535,7.007397052827771,Denver,A,Active,3,1973-11-07,2014-10-31,52.12876712328767,11.12054794520548
DRV00002,2022-01-01,20662,361.3,3361.4,6.411176470588235,113.9,17,0.315250484362026,57.18793246609466,6.146843577080978,Columbus,A,Active,20,1976-11-03,2020-10-02,49.136986301369866,5.1945205479452055
DRV00002,2022-02-01,30205,524.0,4887.8,6.350476190476191,150.7,21,0.2875954198473282,57.64312977099237,6.179671835999836,Columbus,A,Active,20,1976-11-03,2020-10-02,49.136986301369866,5.1945205479452055
DRV00002,2022-03-01,41306,723.1,6438.9,6.4684,190.8,25,0.2638639192366201,57.12349605863643,6.415070897202939,Columbus,A,Active,20,1976-11-03,2020-10-02,49.136986301369866,5.1945205479452055
DRV00002,2022-04-01,23754,412.7,3569.3,6.708571428571429,109.8,14,0.2660528228737582,57.55754785558517,6.6550864315131815,Columbus,A,Active,20,1976-11-03,2020-10-02,49.136986301369866,5.1945205479452055
DRV00002,2022-05-01,15562,266.7,2416.0,6.4547058823529415,144.0,17,0.5399325084364455,58.35020622422198,6.441225165562914,Columbus,A,Active,20,1976-11-03,2020-10-02,49.136986301369866,5.1945205479452055
DRV00002,2022-06-01,21552,380.2,3461.7,6.231578947368422,142.3,19,0.37427669647553924,56.68595476065229,6.225842794002947,Columbus,A,Active,20,1976-11-03,2020-10-02,49.136986301369866,5.1945205479452055
DRV00002,2022-07-01,26283,455.3,3926.3,6.786666666666666,116.5,18,0.2558752470898309,57.72677355589721,6.694088582125665,Columbus,A,Active,20,1976-11-03,2020-10-02,49.136986301369866,5.1945205479452055
DRV00002,2022-08-01,28940,526.8,4516.8,6.424166666666667,182.2,24,0.3458618071374336,54.93545937737282,6.407190931633014,Columbus,A,Active,20,1976-11-03,2020-10-02,49.136986301369866,5.1945205479452055
DRV00002,2022-09-01,16681,292.4,2351.0,7.014166666666667,80.8,12,0.2763337893296854,57.04856361149111,7.095278604849001,Columbus,A,Active,20,1976-11-03,2020-10-02,49.136986301369866,5.1945205479452055
DRV00002,2022-10-01,28784,515.9,4400.6,6.566666666666667,137.1,21,0.2657491761969374,55.79375848032565,6.540926237331273,Columbus,A,Active,20,1976-11-03,2020-10-02,49.136986301369866,5.1945205479452055
DRV00002,2022-11-01,20269,368.3,3180.9,6.386666666666667,92.1,12,0.2500678794461037,55.03393972305186,6.372095947687761,Columbus,A,Active,20,1976-11-03,2020-10-02,49.136986301369866,5.1945205479452055
DRV00002,2022-12-01,23807,408.1,3761.5,6.42375,100.7,16,0.24675324675324675,58.33619210977701,6.329124019673003,Columbus,A,Active,20,1976-11-03,2020-10-02,49.136986301369866,5.1945205479452055
DRV00002,2023-01-01,34745,575.8,5347.7,6.5369230769230775,187.20000000000002,26,0.3251128864188955,60.34213268496006,6.4971857060044504,Columbus,A,Active,20,1976-11-03,2020-10-02,49.136986301369866,5.1945205479452055
DRV00002,2023-02-01,11271,199.6,1733.4,6.510000000000001,91.2,12,0.45691382765531063,56.467935871743485,6.502249913464866,Columbus,A,Active,20,1976-11-03,2020-10-02,49.136986301369866,5.1945205479452055
DRV00002,2023-03-01,26229,455.6,4219.8,6.361764705882353,122.4,17,0.26865671641791045,57.57023705004389,6.215697426418314,Columbus,A,Active,20,1976-11-03,2020-10-02,49.136986301369866,5.1945205479452055
DRV00002,2023-04-01,22020,374.3,3365.5,6.551176470588236,110.2,17,0.29441624365482233,58.829815655891,6.542861387609568,Columbus,A,Active,20,1976-11-03,2020-10-02,49.136986301369866,5.1945205479452055
DRV00002,2023-05-01,29881,522.3,4646.6,6.497619047619047,148.1,21,0.28355351330652884,57.21041547003638,6.430723539792536,Columbus,A,Active,20,1976-11-03,2020-10-02,49.136986301369866,5.1945205479452055
DRV00002,2023-06-01,28383,488.79999999999995,4456.4,6.449411764705882,125.2,17,0.2561374795417349,58.066693944353524,6.369042276276816,Columbus,A,Active,20,1976-11-03,2020-10-02,49.136986301369866,5.1945205479452055
DRV00002,2023-07-01,30581,550.1,4823.1,6.36421052631579,128.0,19,0.23268496636975095,55.59171059807308,6.340527876262154,Columbus,A,Active,20,1976-11-03,2020-10-02,49.136986301369866,5.1945205479452055
DRV00002,2023-08-01,26499,467.9,4144.1,6.5216666666666665,129.8,18,0.2774097029279761,56.633896131652065,6.3943920272194195,Columbus,A,Active,20,1976-11-03,2020-10-02,49.136986301369866,5.1945205479452055
DRV00002,2023-09-01,27792,475.0,4451.900000000001,6.356315789473684,118.9,19,0.2503157894736842,58.509473684210526,6.242727824075113,Columbus,A,Active,20,1976-11-03,2020-10-02,49.136986301369866,5.1945205479452055
DRV00002,2023-10-01,38132,665.9,6158.7,6.224545454545455,153.6,22,0.23066526505481302,57.263853431446165,6.191566402000422,Columbus,A,Active,20,1976-11-03,2020-10-02,49.136986301369866,5.1945205479452055
DRV00002,2023-11-01,17276,289.0,2530.1,6.76,94.7,13,0.327681660899654,59.778546712802765,6.828188609145884,Columbus,A,Active,20,1976-11-03,2020-10-02,49.136986301369866,5.1945205479452055
DRV00002,2023-12-01,34149,604.9,5319.9,6.477894736842106,123.1,19,0.20350471152256572,56.453959332121016,6.419105622286134,Columbus,A,Active,20,1976-11-03,2020-10-02,49.136986301369866,5.1945205479452055
DRV00002,2024-01-01,24126,418.3,3767.7999999999997,6.341764705882353,102.6,17,0.2452785082476691,57.67630886923261,6.403206114974256,Columbus,A,Active,20,1976-11-03,2020-10-02,49.136986301369866,5.1945205479452055
DRV00002,2024-02-01,34284,611.1,5102.6,6.674761904761906,146.8,21,0.24022254950090002,56.10211094747177,6.718927605534433,Columbus,A,Active,20,1976-11-03,2020-10-02,49.136986301369866,5.1945205479452055
DRV00002,2024-03-01,35945,630.3000000000001,5612.7,6.535217391304348,170.6,23,0.27066476281135965,57.028399174996025,6.404226130026547,Columbus,A,Active,20,1976-11-03,2020-10-02,49.136986301369866,5.1945205479452055
DRV00002,2024-04-01,16575,292.7,2546.2,6.585384615384616,92.8,13,0.31704817218995557,56.62794670310899,6.509700730500354,Columbus,A,Active,20,1976-11-03,2020-10-02,49.136986301369866,5.1945205479452055
DRV00002,2024-05-01,31972,550.5,4912.8,6.558636363636364,178.6,22,0.32443233424159856,58.07811080835604,6.5078977365249955,Columbus,A,Active,20,1976-11-03,2020-10-02,49.136986301369866,5.1945205479452055
DRV00002,2024-06-01,30576,539.4,4792.2,6.4226086956521735,165.9,23,0.3075639599555061,56.685205784204676,6.38036809815951,Columbus,A,Active,20,1976-11-03,2020-10-02,49.136986301369866,5.1945205479452055
DRV00002,2024-07-01,23816,422.4,3714.0,6.410588235294118,111.0,17,0.26278409090909094,56.38257575757576,6.412493268712978,Columbus,A,Active,20,1976-11-03,2020-10-02,49.136986301369866,5.1945205479452055
DRV00002,2024-08-01,22245,396.70000000000005,3354.2,6.624,151.7,20,0.38240483992941765,56.07511973783715,6.631983781527637,Columbus,A,Active,20,1976-11-03,2020-10-02,49.136986301369866,5.1945205479452055
DRV00002,2024-09-01,33327,589.2,5216.1,6.511052631578947,118.9,19,0.2017990495587237,56.56313645621181,6.389256340944383,Columbus,A,Active,20,1976-11-03,2020-10-02,49.136986301369866,5.1945205479452055
DRV00002,2024-10-01,13142,228.6,1902.8,6.685,89.5,12,0.3915135608048994,57.489063867016625,6.906663863779693,Columbus,A,Active,20,1976-11-03,2020-10-02,49.136986301369866,5.1945205479452055
DRV00002,2024-11-01,24940,434.7,3962.0,6.428125,121.0,16,0.2783528870485392,57.372900851161724,6.294800605754669,Columbus,A,Active,20,1976-11-03,2020-10-02,49.136986301369866,5.1945205479452055
DRV00002,2024-12-01,27535,483.6,4247.9,6.576521739130435,160.0,23,0.3308519437551695,56.93755169561621,6.482026413051155,Columbus,A,Active,20,1976-11-03,2020-10-02,49.136986301369866,5.1945205479452055
DRV00003,2022-01-01,30348,507.5,4727.4,6.512777777777778,128.6,18,0.2533990147783251,59.79901477832512,6.41959639548166,Salt Lake City,A,Active,19,1970-04-06,2021-09-21,55.72054794520548,4.2246575342465755
DRV00003,2022-02-01,19714,351.40000000000003,3147.6,6.306875,123.3,16,0.35088218554354006,56.10130904951622,6.263184648621172,Salt Lake City,A,Active,19,1970-04-06,2021-09-21,55.72054794520548,4.2246575342465755
DRV00003,2022-03-01,41699,710.4,6485.0,6.541666666666667,169.4,24,0.23845720720720723,58.69791666666667,6.430069390902082,Salt Lake City,A,Active,19,1970-04-06,2021-09-21,55.72054794520548,4.2246575342465755
DRV00003,2022-04-01,30529,530.0,4788.6,6.404210526315789,122.9,19,0.2318867924528302,57.60188679245283,6.375349789082404,Salt Lake City,A,Active,19,1970-04-06,2021-09-21,55.72054794520548,4.2246575342465755
DRV00003,2022-05-01,25441,442.1,3981.4,6.408947368421052,134.9,19,0.30513458493553497,57.54580411671567,6.389963329482091,Salt Lake City,A,Active,19,1970-04-06,2021-09-21,55.72054794520548,4.2246575342465755
DRV00003,2022-06-01,25925,459.6,4035.4,6.504117647058823,113.2,17,0.2463011314186249,56.407745865970405,6.424394112107845,Salt Lake City,A,Active,19,1970-04-06,2021-09-21,55.72054794520548,4.2246575342465755
DRV00003,2022-07-01,31212,555.9,4686.2,6.768260869565217,172.7,23,0.31066738622054324,56.14678899082569,6.660407152917076,Salt Lake City,A,Active,19,1970-04-06,2021-09-21,55.72054794520548,4.2246575342465755
DRV00003,2022-08-01,22070,400.8,3410.6,6.435625,117.1,16,0.2921656686626746,55.06487025948103,6.47100216970621,Salt Lake City,A,Active,19,1970-04-06,2021-09-21,55.72054794520548,4.2246575342465755
DRV00003,2022-09-01,26166,463.1,4011.8,6.584705882352941,120.3,17,0.2597711077521054,56.50183545670481,6.522259334961862,Salt Lake City,A,Active,19,1970-04-06,2021-09-21,55.72054794520548,4.2246575342465755
DRV00003,2022-10-01,28311,481.2,4423.900000000001,6.500526315789474,120.4,19,0.2502078137988363,58.83416458852868,6.399556952010668,Salt Lake City,A,Active,19,1970-04-06,2021-09-21,55.72054794520548,4.2246575342465755
DRV00003,2022-11-01,34196,598.4,5292.8,6.468421052631579,167.5,19,0.27991310160427807,57.14572192513369,6.460852478839177,Salt Lake City,A,Active,19,1970-04-06,2021-09-21,55.72054794520548,4.2246575342465755
DRV00003,2022-12-01,28346,497.3,4398.4,6.516190476190476,133.5,21,0.26844962799115224,56.999798914136335,6.444616224081485,Salt Lake City,A,Active,19,1970-04-06,2021-09-21,55.72054794520548,4.2246575342465755
DRV00003,2023-01-01,31027,517.9,4914.1,6.466666666666667,134.8,21,0.26028190770419,59.909248889747055,6.313872326570481,Salt Lake City,A,Active,19,1970-04-06,2021-09-21,55.72054794520548,4.2246575342465755
DRV00003,2023-02-01,36532,648.8,5621.2,6.5072,190.9,25,0.2942355117139334,56.30702836004932,6.498968191845158,Salt Lake City,A,Active,19,1970-04-06,2021-09-21,55.72054794520548,4.2246575342465755
DRV00003,2023-03-01,33699,591.7,4965.6,6.7632,148.1,25,0.2502957579854656,56.95284772688862,6.786491058482358,Salt Lake City,A,Active,19,1970-04-06,2021-09-21,55.72054794520548,4.2246575342465755
DRV00003,2023-04-01,36781,631.0,5606.1,6.559583333333333,169.79999999999998,24,0.2690966719492868,58.29001584786054,6.560889031590588,Salt Lake City,A,Active,19,1970-04-06,2021-09-21,55.72054794520548,4.2246575342465755
DRV00003,2023-05-01,22131,385.0,3504.2,6.481111111111111,105.10000000000001,18,0.272987012987013,57.483116883116885,6.315564180126706,Salt Lake City,A,Active,19,1970-04-06,2021-09-21,55.72054794520548,4.2246575342465755
DRV00003,2023-06-01,26977,477.40000000000003,4219.3,6.4280952380952385,140.3,21,0.2938835358190197,56.50816925010473,6.393714597208067,Salt Lake City,A,Active,19,1970-04-06,2021-09-21,55.72054794520548,4.2246575342465755
DRV00003,2023-07-01,32889,567.4,5000.0,6.591818181818183,164.2,22,0.28939020091646106,57.96439901304195,6.5778,Salt Lake City,A,Active,19,1970-04-06,2021-09-21,55.72054794520548,4.2246575342465755
DRV00003,2023-08-01,28262,480.1,4325.1,6.538888888888889,130.7,18,0.2722349510518642,58.866902728598205,6.5344153892395545,Salt Lake City,A,Active,19,1970-04-06,2021-09-21,55.72054794520548,4.2246575342465755
DRV00003,2023-09-01,30267,516.2,4761.3,6.381176470588236,114.8,17,0.2223944207671445,58.63425029058504,6.356877323420074,Salt Lake City,A,Active,19,1970-04-06,2021-09-21,55.72054794520548,4.2246575342465755
DRV00003,2023-10-01,32471,569.0,4878.4,6.6945,149.9,20,0.26344463971880494,57.066783831282955,6.656075762545097,Salt Lake City,A,Active,19,1970-04-06,2021-09-21,55.72054794520548,4.2246575342465755
DRV00003,2023-11-01,24084,422.8,3655.5,6.700769230769231,76.7,13,0.18140964995269632,56.96310312204352,6.588428395568322,Salt Lake City,A,Active,19,1970-04-06,2021-09-21,55.72054794520548,4.2246575342465755
DRV00003,2023-12-01,32958,578.6,5101.9,6.5904,178.1,25,0.30781195990321464,56.96163152436917,6.459946294517729,Salt Lake City,A,Active,19,1970-04-06,2021-09-21,55.72054794520548,4.2246575342465755
DRV00003,2024-01-01,29027,510.6,4620.7,6.384,111.7,15,0.21876224050137094,56.848805327066195,6.2819486225030845,Salt Lake City,A,Active,19,1970-04-06,2021-09-21,55.72054794520548,4.2246575342465755
DRV00003,2024-02-01,23829,408.6,3719.6,6.586470588235294,105.3,17,0.2577092511013216,58.31864904552129,6.4063340144101515,Salt Lake City,A,Active,19,1970-04-06,2021-09-21,55.72054794520548,4.2246575342465755
DRV00003,2024-03-01,23946,409.0,3658.5,6.649230769230769,67.6,13,0.16528117359413202,58.54767726161369,6.545305453054531,Salt Lake City,A,Active,19,1970-04-06,2021-09-21,55.72054794520548,4.2246575342465755
DRV00003,2024-04-01,21932,392.4,3276.9,6.703888888888889,112.5,18,0.286697247706422,55.891946992864426,6.692910982941195,Salt Lake City,A,Active,19,1970-04-06,2021-09-21,55.72054794520548,4.2246575342465755
DRV00003,2024-05-01,34917,618.4,5574.2,6.364761904761904,146.9,21,0.2375485122897801,56.463454075032345,6.264037888845036,Salt Lake City,A,Active,19,1970-04-06,2021-09-21,55.72054794520548,4.2246575342465755
DRV00003,2024-06-01,27858,482.6,4280.6,6.569,128.5,20,0.26626605884790716,57.72482387070037,6.507966172966406,Salt Lake City,A,Active,19,1970-04-06,2021-09-21,55.72054794520548,4.2246575342465755
DRV00003,2024-07-01,19643,344.5,3036.2,6.348333333333334,65.0,12,0.18867924528301888,57.0188679245283,6.469600158092352,Salt Lake City,A,Active,19,1970-04-06,2021-09-21,55.72054794520548,4.2246575342465755
DRV00003,2024-08-01,19860,357.4,3139.7,6.383333333333334,103.7,15,0.2901510912143257,55.567991046446565,6.32544510622034,Salt Lake City,A,Active,19,1970-04-06,2021-09-21,55.72054794520548,4.2246575342465755
DRV00003,2024-09-01,29353,510.7,4409.7,6.715714285714286,145.2,21,0.2843156451928725,57.47601331505776,6.656461890831576,Salt Lake City,A,Active,19,1970-04-06,2021-09-21,55.72054794520548,4.2246575342465755
DRV00003,2024-10-01,19798,340.5,2944.4,6.777142857142857,87.3,14,0.25638766519823786,58.143906020558006,6.723950550196984,Salt Lake City,A,Active,19,1970-04-06,2021-09-21,55.72054794520548,4.2246575342465755
DRV00003,2024-11-01,20087,352.8,3076.6,6.636666666666667,94.7,15,0.2684240362811791,56.9359410430839,6.52896054085679,Salt Lake City,A,Active,19,1970-04-06,2021-09-21,55.72054794520548,4.2246575342465755
DRV00003,2024-12-01,27950,487.5,4218.9,6.652105263157895,140.0,19,0.28717948717948716,57.333333333333336,6.624949631420513,Salt Lake City,A,Active,19,1970-04-06,2021-09-21,55.72054794520548,4.2246575342465755
DRV00004,2022-01-01,30923,532.2,4792.8,6.460555555555556,117.7,18,0.2211574596016535,58.10409620443442,6.451969621098314,Denver,A,Active,19,1995-02-06,2013-09-08,30.865753424657534,12.265753424657534
DRV00004,2022-02-01,13242,230.8,2054.0,6.545384615384616,104.4,13,0.45233968804159447,57.37435008665511,6.446932814021421,Denver,A,Active,19,1995-02-06,2013-09-08,30.865753424657534,12.265753424657534
DRV00004,2022-03-01,19765,330.9,3067.3,6.542307692307692,86.6,13,0.2617104865518283,59.731036566938656,6.443777915430508,Denver,A,Active,19,1995-02-06,2013-09-08,30.865753424657534,12.265753424657534
DRV00004,2022-04-01,40087,702.0,6096.6,6.695,164.1,24,0.23376068376068376,57.103988603988604,6.575304267952629,Denver,A,Active,19,1995-02-06,2013-09-08,30.865753424657534,12.265753424657534
DRV00004,2022-05-01,14291,236.8,2238.6,6.526666666666666,97.3,12,0.41089527027027023,60.35050675675675,6.3839006521933355,Denver,A,Active,19,1995-02-06,2013-09-08,30.865753424657534,12.265753424657534
DRV00004,2022-06-01,35468,610.2,5307.7,6.779565217391305,159.3,23,0.2610619469026549,58.12520485086856,6.682367127004164,Denver,A,Active,19,1995-02-06,2013-09-08,30.865753424657534,12.265753424657534
DRV00004,2022-07-01,46186,803.4,7503.4,6.2034375,211.4,32,0.26313169031615635,57.48817525516555,6.155342911213584,Denver,A,Active,19,1995-02-06,2013-09-08,30.865753424657534,12.265753424657534
DRV00004,2022-08-01,38640,679.2,6037.900000000001,6.5924000000000005,186.3,25,0.2742932862190813,56.890459363957596,6.399576011527186,Denver,A,Active,19,1995-02-06,2013-09-08,30.865753424657534,12.265753424657534
DRV00004,2022-09-01,24375,431.9,3673.1,6.577777777777778,109.2,18,0.2528363047001621,56.43667515628618,6.636083961776157,Denver,A,Active,19,1995-02-06,2013-09-08,30.865753424657534,12.265753424657534
DRV00004,2022-10-01,34614,612.6,5264.0,6.495217391304347,158.3,23,0.2584067907280444,56.50342801175318,6.5756079027355625,Denver,A,Active,19,1995-02-06,2013-09-08,30.865753424657534,12.265753424657534
DRV00004,2022-11-01,33749,573.8,5188.9,6.665000000000001,118.9,20,0.20721505751132802,58.81666085744162,6.504076008402552,Denver,A,Active,19,1995-02-06,2013-09-08,30.865753424657534,12.265753424657534
DRV00004,2022-12-01,23810,415.90000000000003,3703.2,6.515,118.30000000000001,16,0.28444337581149315,57.24933878336138,6.429574422121409,Denver,A,Active,19,1995-02-06,2013-09-08,30.865753424657534,12.265753424657534
DRV00004,2023-01-01,21930,374.4,3411.5,6.53,133.6,19,0.35683760683760685,58.57371794871795,6.428257364795544,Denver,A,Active,19,1995-02-06,2013-09-08,30.865753424657534,12.265753424657534
DRV00004,2023-02-01,31222,539.3,4803.1,6.463157894736842,148.1,19,0.2746152419803449,57.89356573335806,6.500385167912389,Denver,A,Active,19,1995-02-06,2013-09-08,30.865753424657534,12.265753424657534
DRV00004,2023-03-01,35225,625.5,5560.2,6.389545454545455,168.2,22,0.26890487609912067,56.314948041566744,6.335203769648574,Denver,A,Active,19,1995-02-06,2013-09-08,30.865753424657534,12.265753424657534
DRV00004,2023-04-01,24847,426.6,3900.3,6.407857142857142,95.4,14,0.22362869198312235,58.24425691514299,6.370535599825654,Denver,A,Active,19,1995-02-06,2013-09-08,30.865753424657534,12.265753424657534
DRV00004,2023-05-01,30328,513.5,4778.4,6.337,150.4,20,0.2928919182083739,59.06134371957157,6.346894357944082,Denver,A,Active,19,1995-02-06,2013-09-08,30.865753424657534,12.265753424657534
DRV00004,2023-06-01,31591,547.6,4789.5,6.6812000000000005,212.0,25,0.38714390065741416,57.68991964937911,6.595886835786617,Denver,A,Active,19,1995-02-06,2013-09-08,30.865753424657534,12.265753424657534
DRV00004,2023-07-01,25839,440.1,3975.9,6.604117647058823,116.3,17,0.26425812315382863,58.711656441717786,6.49890590809628,Denver,A,Active,19,1995-02-06,2013-09-08,30.865753424657534,12.265753424657534
DRV00004,2023-08-01,27499,485.8,4033.5,6.749333333333333,84.4,15,0.1737340469328942,56.60559901193907,6.817652163133755,Denver,A,Active,19,1995-02-06,2013-09-08,30.865753424657534,12.265753424657534
DRV00004,2023-09-01,11978,204.7,1968.3,6.268,81.4,10,0.39765510503175383,58.51489985344407,6.085454453081339,Denver,A,Active,19,1995-02-06,2013-09-08,30.865753424657534,12.265753424657534
